owner,ticker,asset_type,type,amount,state,party,industry,senator
Spouse,ESS,Stock,Sale (Full),"$15,000 ",RI,Democrat,Real Estate Investment Trusts,Sheldon Whitehouse
Self,ESS,Stock,Sale (Full),"$15,000 ",RI,Democrat,Real Estate Investment Trusts,Sheldon Whitehouse
N/A,N/A,PDF Disclosed Filing,N/A,,,,,Michael F. Bennet
Spouse,UPS,Stock,Sale (Full),"$15,000 ",WV,Republican,Trucking Freight/Courier Services,Shelley Moore Capito
Spouse,MCD,Stock,Sale (Partial),"$15,000 ",WV,Republican,Restaurants,Shelley Moore Capito
Spouse,DUK,Stock,Sale (Full),"$50,000 ",WV,Republican,Power Generation,Shelley Moore Capito
Spouse,TTD,Stock,Sale (Full),"$50,000 ",CO,Democrat,"Computer Software: Programming, Data Processing",John W. Hickenlooper
Spouse,PTON,Stock,Sale (Full),"$15,000 ",CO,Democrat,Recreational Products/Toys,John W. Hickenlooper
Spouse,DIS,Stock,Sale (Full),"$50,000 ",CO,Democrat,Services-Misc. Amusement & Recreation,John W. Hickenlooper
Spouse,CMCSA,Stock,Sale (Full),"$50,000 ",CO,Democrat,Television Services,John W. Hickenlooper
Spouse,CCCS,Stock,Sale (Full),"$50,000 ",CO,Democrat,Computer Software: Prepackaged Software,John W. Hickenlooper
Spouse,AMZN,Stock,Sale (Full),"$50,000 ",CO,Democrat,Catalog/Specialty Distribution,John W. Hickenlooper
Spouse,BABA,Stock,Sale (Full),"$15,000 ",CO,Democrat,Business Services,John W. Hickenlooper
Spouse,SNAP,Stock,Sale (Full),"$15,000 ",CO,Democrat,"Computer Software: Programming, Data Processing",John W. Hickenlooper
Spouse,PINS,Stock,Sale (Full),"$15,000 ",CO,Democrat,,John W. Hickenlooper
Spouse,CARG,Stock,Sale (Full),"$15,000 ",CO,Democrat,Interactive Media,John W. Hickenlooper
Spouse,BBY,Stock,Sale (Full),"$15,000 ",CO,Democrat,Consumer Electronics/Video Chains,John W. Hickenlooper
Spouse,CMG,Stock,Sale (Partial),"$250,000 ",CO,Democrat,Restaurants,John W. Hickenlooper
N/A,N/A,PDF Disclosed Filing,N/A,,,,,Rick Scott
Joint,CLF,Stock Option,Sale (Partial),"$15,000 ",AL,Republican,Precious Metals,Tommy Tuberville
Joint,CLF,Stock Option,Sale (Partial),"$15,000 ",AL,Republican,Precious Metals,Tommy Tuberville
Joint,CLF,Stock Option,Sale (Partial),"$15,000 ",AL,Republican,Precious Metals,Tommy Tuberville
Joint,CLF,Stock Option,Sale (Partial),"$15,000 ",AL,Republican,Precious Metals,Tommy Tuberville
Joint,CLF,Stock Option,Sale (Partial),"$15,000 ",AL,Republican,Precious Metals,Tommy Tuberville
Joint,F,Stock,Purchase,"$50,000 ",AL,Republican,Auto Manufacturing,Tommy Tuberville
Joint,F,Stock,Purchase,"$250,000 ",AL,Republican,Auto Manufacturing,Tommy Tuberville
Joint,F,Stock,Purchase,"$50,000 ",AL,Republican,Auto Manufacturing,Tommy Tuberville
Joint,ATVI,Stock,Sale (Full),"$250,000 ",AL,Republican,Computer Software: Prepackaged Software,Tommy Tuberville
Joint,CLF,Stock Option,Sale (Partial),"$15,000 ",AL,Republican,Precious Metals,Tommy Tuberville
Joint,CLF,Stock Option,Sale (Partial),"$15,000 ",AL,Republican,Precious Metals,Tommy Tuberville
Joint,CLF,Stock Option,Sale (Partial),"$15,000 ",AL,Republican,Precious Metals,Tommy Tuberville
Joint,X,Stock,Sale (Partial),"$100,000 ",AL,Republican,Steel/Iron Ore,Tommy Tuberville
Joint,X,Stock,Sale (Partial),"$250,000 ",AL,Republican,Steel/Iron Ore,Tommy Tuberville
Joint,CLF,Stock,Purchase,"$50,000 ",AL,Republican,Precious Metals,Tommy Tuberville
Joint,OXY,Stock Option,Sale (Partial),"$15,000 ",AL,Republican,Oil & Gas Production,Tommy Tuberville
Joint,KMB,Stock Option,Sale (Partial),"$15,000 ",AL,Republican,Containers/Packaging,Tommy Tuberville
Joint,MMM,Stock,Purchase,"$15,000 ",AL,Republican,Medical/Dental Instruments,Tommy Tuberville
Joint,MRO,Stock Option,Sale (Partial),"$15,000 ",AL,Republican,Oil & Gas Production,Tommy Tuberville
Joint,KR,Stock Option,Sale (Partial),"$15,000 ",AL,Republican,Food Chains,Tommy Tuberville
Joint,MDLZ,Stock Option,Sale (Partial),"$15,000 ",AL,Republican,Packaged Foods,Tommy Tuberville
Joint,PARA,Stock Option,Sale (Partial),"$15,000 ",AL,Republican,Movies/Entertainment,Tommy Tuberville
Joint,HPQ,Stock Option,Sale (Partial),"$15,000 ",AL,Republican,Computer Manufacturing,Tommy Tuberville
Joint,TSLA,Stock Option,Sale (Partial),"$50,000 ",AL,Republican,Auto Manufacturing,Tommy Tuberville
Joint,TXN,Stock Option,Sale (Partial),"$50,000 ",AL,Republican,Semiconductors,Tommy Tuberville
Joint,XP,Stock,Purchase,"$15,000 ",AL,Republican,Investment Bankers/Brokers/Service,Tommy Tuberville
Joint,VCTR,Stock,Sale (Full),"$15,000 ",AL,Republican,Investment Managers,Tommy Tuberville
Joint,VZ,Stock,Purchase,"$15,000 ",AL,Republican,Telecommunications Equipment,Tommy Tuberville
Joint,TREX,Stock,Sale (Full),"$15,000 ",AL,Republican,,Tommy Tuberville
Joint,MMM,Stock,Purchase,"$15,000 ",AL,Republican,Medical/Dental Instruments,Tommy Tuberville
Joint,TMO,Stock,Sale (Full),"$15,000 ",AL,Republican,Industrial Machinery/Components,Tommy Tuberville
Joint,MSFT,Stock Option,Sale (Partial),"$50,000 ",AL,Republican,Computer Software: Prepackaged Software,Tommy Tuberville
Joint,TSLA,Stock,Purchase,"$15,000 ",AL,Republican,Auto Manufacturing,Tommy Tuberville
Joint,SKY,Stock,Purchase,"$15,000 ",AL,Republican,Homebuilding,Tommy Tuberville
Joint,SSD,Stock,Purchase,"$15,000 ",AL,Republican,Industrial Machinery/Components,Tommy Tuberville
Joint,SCI,Stock,Sale (Full),"$15,000 ",AL,Republican,Other Consumer Services,Tommy Tuberville
Joint,QSR,Stock,Purchase,"$15,000 ",AL,Republican,Restaurants,Tommy Tuberville
Joint,REGN,Stock,Purchase,"$15,000 ",AL,Republican,Major Pharmaceuticals,Tommy Tuberville
Joint,RRC,Stock,Purchase,"$15,000 ",AL,Republican,Oil & Gas Production,Tommy Tuberville
Joint,RH,Stock,Sale (Full),"$15,000 ",AL,Republican,Other Specialty Stores,Tommy Tuberville
Joint,PHM,Stock,Sale (Full),"$15,000 ",AL,Republican,Homebuilding,Tommy Tuberville
Joint,PAM,Stock,Purchase,"$15,000 ",AL,Republican,Electric Utilities: Central,Tommy Tuberville
Joint,NSC,Stock,Purchase,"$15,000 ",AL,Republican,Railroads,Tommy Tuberville
Joint,NDSN,Stock,Purchase,"$15,000 ",AL,Republican,Industrial Machinery/Components,Tommy Tuberville
Joint,NVDA,Stock,Purchase,"$15,000 ",AL,Republican,Semiconductors,Tommy Tuberville
Joint,MCO,Stock,Sale (Full),"$15,000 ",AL,Republican,Finance: Consumer Services,Tommy Tuberville
Joint,MPWR,Stock,Sale (Partial),"$15,000 ",AL,Republican,Semiconductors,Tommy Tuberville
Joint,MPWR,Stock,Sale (Partial),"$15,000 ",AL,Republican,Semiconductors,Tommy Tuberville
Joint,MTD,Stock,Sale (Full),"$15,000 ",AL,Republican,Biotechnology: Laboratory Analytical Instruments,Tommy Tuberville
Joint,MMC,Stock,Sale (Full),"$15,000 ",AL,Republican,Specialty Insurers,Tommy Tuberville
Joint,MKSI,Stock,Sale (Full),"$15,000 ",AL,Republican,Industrial Machinery/Components,Tommy Tuberville
Joint,LMST,Stock,Sale (Full),"$15,000 ",AL,Republican,Major Banks,Tommy Tuberville
Joint,ITW,Stock,Sale (Full),"$15,000 ",AL,Republican,Industrial Machinery/Components,Tommy Tuberville
Joint,IDXX,Stock,Purchase,"$15,000 ",AL,Republican,Biotechnology: In Vitro & In Vivo Diagnostic Substances,Tommy Tuberville
Joint,GFI,Stock,Sale (Full),"$15,000 ",AL,Republican,Precious Metals,Tommy Tuberville
Joint,FLT,Stock,Sale (Full),"$15,000 ",AL,Republican,EDP Services,Tommy Tuberville
Joint,META,Stock,Sale (Full),"$15,000 ",AL,Republican,Internet and Information Services,Tommy Tuberville
Joint,ETSY,Stock,Sale (Full),"$15,000 ",AL,Republican,Business Services,Tommy Tuberville
Joint,EW,Stock,Sale (Full),"$15,000 ",AL,Republican,Industrial Specialties,Tommy Tuberville
Joint,DQ,Stock,Sale (Full),"$15,000 ",AL,Republican,Semiconductors,Tommy Tuberville
Joint,CROX,Stock,Sale (Full),"$15,000 ",AL,Republican,Shoe Manufacturing,Tommy Tuberville
Joint,CSCO,Stock,Sale (Full),"$50,000 ",AL,Republican,Computer Communications Equipment,Tommy Tuberville
Joint,ANET,Stock,Sale (Full),"$50,000 ",AL,Republican,,Tommy Tuberville
Joint,AMT,Stock,Sale (Full),"$15,000 ",AL,Republican,Real Estate Investment Trusts,Tommy Tuberville
Joint,ALLE,Stock,Sale (Full),"$15,000 ",AL,Republican,Diversified Commercial Services,Tommy Tuberville
Joint,ABBV,Stock,Sale (Partial),"$15,000 ",AL,Republican,Major Pharmaceuticals,Tommy Tuberville
Joint,GSK,Stock,Purchase,"$15,000 ",AL,Republican,Major Pharmaceuticals,Tommy Tuberville
Joint,GNTX,Stock,Purchase,"$15,000 ",AL,Republican,Auto Parts:O.E.M.,Tommy Tuberville
Joint,GRMN,Stock,Purchase,"$15,000 ",AL,Republican,Industrial Machinery/Components,Tommy Tuberville
Joint,DIOD,Stock,Purchase,"$15,000 ",AL,Republican,Semiconductors,Tommy Tuberville
Joint,CBSH,Stock,Purchase,"$15,000 ",AL,Republican,Major Banks,Tommy Tuberville
Joint,CRUS,Stock,Purchase,"$15,000 ",AL,Republican,Semiconductors,Tommy Tuberville
Joint,AVGO,Stock,Purchase,"$15,000 ",AL,Republican,Semiconductors,Tommy Tuberville
Joint,ADSK,Stock,Purchase,"$15,000 ",AL,Republican,Computer Software: Prepackaged Software,Tommy Tuberville
Joint,APH,Stock,Purchase,"$15,000 ",AL,Republican,Electrical Products,Tommy Tuberville
Joint,A,Stock,Purchase,"$15,000 ",AL,Republican,Biotechnology: Laboratory Analytical Instruments,Tommy Tuberville
N/A,N/A,PDF Disclosed Filing,N/A,,,,,#NAME?
Spouse,NVS,Stock,Purchase,"$15,000 ",DE,Democrat,Major Pharmaceuticals,Thomas R. Carper
Spouse,TMO,Stock,Sale (Partial),"$15,000 ",DE,Democrat,Industrial Machinery/Components,Thomas R. Carper
Spouse,FIMKX,Other Securities,Sale (Full),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,FCPIX,Other Securities,Sale (Full),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,JHMM,Other Securities,Sale (Full),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,SBIO,Other Securities,Sale (Full),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,LGI,Stock,Sale (Full),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,BRKR,Stock,Sale (Full),"$15,000 ",DE,Democrat,Biotechnology: Laboratory Analytical Instruments,Thomas R. Carper
Spouse,AVNT,Stock,Sale (Full),"$15,000 ",DE,Democrat,Major Chemicals,Thomas R. Carper
Spouse,FDN,Other Securities,Sale (Full),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,RTH,Other Securities,Sale (Full),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,SNDR,Stock,Sale (Full),"$15,000 ",DE,Democrat,Trucking Freight/Courier Services,Thomas R. Carper
Spouse,DGRS,Other Securities,Sale (Full),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,MRVL,Stock,Sale (Full),"$15,000 ",DE,Democrat,Semiconductors,Thomas R. Carper
Spouse,ALGM,Stock,Sale (Full),"$15,000 ",DE,Democrat,Semiconductors,Thomas R. Carper
Spouse,DIOD,Stock,Sale (Full),"$15,000 ",DE,Democrat,Semiconductors,Thomas R. Carper
Spouse,VSH,Stock,Sale (Full),"$15,000 ",DE,Democrat,Industrial Machinery/Components,Thomas R. Carper
Spouse,UAA,Stock,Sale (Full),"$15,000 ",DE,Democrat,Apparel,Thomas R. Carper
Spouse,UA,Stock,Sale (Full),"$15,000 ",DE,Democrat,Apparel,Thomas R. Carper
Spouse,CSCO,Stock,Sale (Full),"$50,000 ",DE,Democrat,Computer Communications Equipment,Thomas R. Carper
Joint,ITW,Stock,Sale (Full),"$50,000 ",IL,Democrat,Industrial Machinery/Components,Tammy Duckworth
N/A,N/A,PDF Disclosed Filing,N/A,,,,,Richard Blumenthal
Spouse,CSII,Stock,Sale (Full),"$100,000 ",MN,Democrat,Medical/Dental Instruments,Tina Smith
Spouse,MDT,Stock,Sale (Full),"$250,000 ",MN,Democrat,Biotechnology: Electromedical & Electrotherapeutic Apparatus,Tina Smith
Spouse,CSII,Stock,Sale (Full),"$100,000 ",MN,Democrat,Medical/Dental Instruments,Tina Smith
Self,TFC,Stock,Purchase,"$15,000 ",MI,Democrat,Major Banks,Gary C. Peters
Self,O,Stock,Purchase,"$50,000 ",MI,Democrat,Real Estate Investment Trusts,Gary C. Peters
Self,NUE,Stock,Sale (Full),"$100,000 ",MI,Democrat,Steel/Iron Ore,Gary C. Peters
Joint,CLF,Stock Option,Sale (Partial),"$15,000 ",AL,Republican,Precious Metals,Tommy Tuberville
Joint,CLF,Stock Option,Sale (Partial),"$15,000 ",AL,Republican,Precious Metals,Tommy Tuberville
Joint,TSM,Stock Option,Purchase,"$15,000 ",AL,Republican,Semiconductors,Tommy Tuberville
Joint,X,Stock,Sale (Partial),"$15,000 ",AL,Republican,Steel/Iron Ore,Tommy Tuberville
Joint,X,Stock,Sale (Partial),"$15,000 ",AL,Republican,Steel/Iron Ore,Tommy Tuberville
Joint,X,Stock,Sale (Partial),"$50,000 ",AL,Republican,Steel/Iron Ore,Tommy Tuberville
Joint,X,Stock,Sale (Partial),"$50,000 ",AL,Republican,Steel/Iron Ore,Tommy Tuberville
Joint,X,Stock,Sale (Partial),"$100,000 ",AL,Republican,Steel/Iron Ore,Tommy Tuberville
Joint,X,Stock,Sale (Partial),"$100,000 ",AL,Republican,Steel/Iron Ore,Tommy Tuberville
Joint,CLF,Stock,Purchase,"$100,000 ",AL,Republican,Precious Metals,Tommy Tuberville
Joint,X,Stock,Sale (Partial),"$100,000 ",AL,Republican,Steel/Iron Ore,Tommy Tuberville
Joint,KMB,Stock,Purchase,"$50,000 ",AL,Republican,Containers/Packaging,Tommy Tuberville
Joint,BMO,Stock,Sale (Full),"$15,000 ",AL,Republican,,Tommy Tuberville
Joint,CLF,Stock Option,Sale (Partial),"$15,000 ",AL,Republican,Precious Metals,Tommy Tuberville
Spouse,AAPL,Stock,Sale (Partial),"$50,000 ",DE,Democrat,Computer Manufacturing,Thomas R. Carper
Spouse,TSM,Stock,Sale (Partial),"$15,000 ",DE,Democrat,Semiconductors,Thomas R. Carper
Spouse,WFC,Stock,Purchase,"$15,000 ",KY,Republican,Major Banks,Mitch Mcconnell
N/A,N/A,PDF Disclosed Filing,N/A,,,,,Rick Scott
N/A,N/A,PDF Disclosed Filing,N/A,,,,,Richard Blumenthal
Joint,SCHW,Stock,Sale (Partial),"$15,000 ",AK,Republican,Investment Bankers/Brokers/Service,Dan Sullivan
Joint,CHD,Stock,Purchase,"$15,000 ",AK,Republican,Package Goods/Cosmetics,Dan Sullivan
Joint,CHD,Stock,Purchase,"$15,000 ",AK,Republican,Package Goods/Cosmetics,Dan Sullivan
Joint,GOOG,Stock,Purchase,"$15,000 ",AK,Republican,"Computer Software: Programming, Data Processing",Dan Sullivan
N/A,N/A,PDF Disclosed Filing,N/A,,,,,Tommy Tuberville
N/A,N/A,PDF Disclosed Filing,N/A,,,,,Shelley Moore Capito
N/A,N/A,PDF Disclosed Filing,N/A,,,,,John Boozman
Spouse,QCOM,Stock,Sale (Partial),"$15,000 ",DE,Democrat,Radio And Television Broadcasting And Communications Equipment,Thomas R. Carper
Spouse,SBUX,Stock,Sale (Full),"$15,000 ",DE,Democrat,Restaurants,Thomas R. Carper
Spouse,VFH,Other Securities,Sale (Full),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,SQM,Stock,Purchase,"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,WM,Stock,Purchase,"$15,000 ",DE,Democrat,Environmental Services,Thomas R. Carper
Spouse,TSM,Stock,Sale (Partial),"$15,000 ",DE,Democrat,Semiconductors,Thomas R. Carper
Spouse,AGX,Stock,Purchase,"$15,000 ",DE,Democrat,Oilfield Services/Equipment,Thomas R. Carper
Spouse,KBE,Other Securities,Sale (Full),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,HASI,Stock,Purchase,"$15,000 ",DE,Democrat,Real Estate Investment Trusts,Thomas R. Carper
Spouse,MOS,Stock,Purchase,"$15,000 ",DE,Democrat,Agricultural Chemicals,Thomas R. Carper
Spouse,FPI,Stock,Purchase,"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,RTH,Other Securities,Sale (Full),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,BSM,Stock,Purchase,"$15,000 ",DE,Democrat,Oil & Gas Production,Thomas R. Carper
Spouse,RTX,Stock,Purchase,"$15,000 ",DE,Democrat,Aerospace,Thomas R. Carper
Spouse,IRM,Stock,Sale (Partial),"$15,000 ",DE,Democrat,Real Estate Investment Trusts,Thomas R. Carper
Spouse,APO,Stock,Sale (Partial),"$15,000 ",DE,Democrat,Investment Managers,Thomas R. Carper
Spouse,ABYIX,Other Securities,Sale (Partial),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,MBXIX,Other Securities,Sale (Partial),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,LUBYX,Other Securities,Sale (Full),"$50,000 ",DE,Democrat,,Thomas R. Carper
Spouse,JHMM,Other Securities,Sale (Partial),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,VHT,Other Securities,Purchase,"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,SBIO,Other Securities,Sale (Full),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,IVV,Other Securities,Purchase,"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,IJR,Other Securities,Purchase,"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,IWD,Other Securities,Purchase,"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,CDL,Other Securities,Sale (Full),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,SPGP,Other Securities,Sale (Partial),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,GNR,Other Securities,Sale (Partial),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,LDP,Stock,Sale (Full),"$15,000 ",DE,Democrat,Finance Companies,Thomas R. Carper
Spouse,QTEC,Other Securities,Purchase,"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,FDN,Other Securities,Sale (Full),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,RTH,Other Securities,Sale (Full),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,MOO,Other Securities,Sale (Partial),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,IGHG,Other Securities,Purchase,"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,GBIL,Other Securities,Purchase,"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,FDRR,Other Securities,Sale (Partial),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,FQAL,Other Securities,Sale (Full),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,NXTG,Other Securities,Sale (Full),"$15,000 ",DE,Democrat,,Thomas R. Carper
N/A,N/A,PDF Disclosed Filing,N/A,,,,,Rick Scott
N/A,N/A,PDF Disclosed Filing,N/A,,,,,Gary C. Peters
Joint,GOLD,Stock,Purchase,"$15,000 ",AL,Republican,Precious Metals,Tommy Tuberville
Joint,CLF,Stock Option,Sale (Partial),"$15,000 ",AL,Republican,Precious Metals,Tommy Tuberville
Joint,CLF,Stock Option,Sale (Partial),"$15,000 ",AL,Republican,Precious Metals,Tommy Tuberville
Joint,CLF,Stock,Purchase,"$250,000 ",AL,Republican,Precious Metals,Tommy Tuberville
Joint,UAA,Stock,Purchase,"$50,000 ",AL,Republican,Apparel,Tommy Tuberville
Joint,CLF,Stock Option,Sale (Partial),"$15,000 ",AL,Republican,Precious Metals,Tommy Tuberville
Joint,V,Stock Option,Sale (Partial),"$15,000 ",AL,Republican,Business Services,Tommy Tuberville
Joint,KO,Stock Option,Sale (Partial),"$15,000 ",AL,Republican,Beverages (Production/Distribution),Tommy Tuberville
Joint,AAPL,Stock Option,Sale (Partial),"$15,000 ",AL,Republican,Computer Manufacturing,Tommy Tuberville
Joint,TXN,Stock Option,Sale (Partial),"$15,000 ",AL,Republican,Semiconductors,Tommy Tuberville
Joint,CLF,Stock Option,Sale (Partial),"$15,000 ",AL,Republican,Precious Metals,Tommy Tuberville
Joint,CLF,Stock Option,Sale (Partial),"$15,000 ",AL,Republican,Precious Metals,Tommy Tuberville
Joint,CLF,Stock Option,Sale (Partial),"$15,000 ",AL,Republican,Precious Metals,Tommy Tuberville
Joint,X,Stock Option,Purchase,"$15,000 ",AL,Republican,Steel/Iron Ore,Tommy Tuberville
Joint,X,Stock,Sale (Partial),"$15,000 ",AL,Republican,Steel/Iron Ore,Tommy Tuberville
Joint,X,Stock,Sale (Partial),"$15,000 ",AL,Republican,Steel/Iron Ore,Tommy Tuberville
Joint,X,Stock,Sale (Partial),"$15,000 ",AL,Republican,Steel/Iron Ore,Tommy Tuberville
Joint,X,Stock,Sale (Partial),"$50,000 ",AL,Republican,Steel/Iron Ore,Tommy Tuberville
Joint,X,Stock,Sale (Partial),"$100,000 ",AL,Republican,Steel/Iron Ore,Tommy Tuberville
Joint,CLF,Stock Option,Sale (Partial),"$50,000 ",AL,Republican,Precious Metals,Tommy Tuberville
Joint,ULTA,Stock,Sale (Partial),"$15,000 ",AK,Republican,,Dan Sullivan
Joint,PXD,Stock,Sale (Partial),"$15,000 ",AK,Republican,Oil & Gas Production,Dan Sullivan
Joint,JPM,Stock,Sale (Partial),"$15,000 ",AK,Republican,Major Banks,Dan Sullivan
Joint,CVS,Stock,Sale (Partial),"$15,000 ",AK,Republican,Medical/Nursing Services,Dan Sullivan
Joint,BMY,Stock,Sale (Partial),"$15,000 ",AK,Republican,Major Pharmaceuticals,Dan Sullivan
Joint,BKNG,Stock,Sale (Partial),"$15,000 ",AK,Republican,Transportation Services,Dan Sullivan
Joint,ZTS,Stock,Purchase,"$15,000 ",AK,Republican,Major Pharmaceuticals,Dan Sullivan
Joint,AMZN,Stock,Purchase,"$15,000 ",AK,Republican,Catalog/Specialty Distribution,Dan Sullivan
Joint,ALGN,Stock,Purchase,"$15,000 ",AK,Republican,Industrial Specialties,Dan Sullivan
N/A,N/A,PDF Disclosed Filing,N/A,,,,,Christopher A. Coons
Spouse,RIO,Stock,Sale (Full),"$15,000 ",DE,Democrat,Precious Metals,Thomas R. Carper
Spouse,FPI,Stock,Purchase,"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,AQN,Stock,Sale (Full),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,MAXR,Stock,Sale (Full),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,MGM,Stock,Purchase,"$15,000 ",DE,Democrat,Hotels/Resorts,Thomas R. Carper
Spouse,AMT,Stock,Purchase,"$15,000 ",DE,Democrat,Real Estate Investment Trusts,Thomas R. Carper
Spouse,SRVR,Other Securities,Sale (Full),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,MOO,Other Securities,Sale (Full),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,ATKR,Stock,Purchase,"$15,000 ",DE,Democrat,Electrical Products,Thomas R. Carper
Spouse,HOLX,Stock,Sale (Full),"$15,000 ",DE,Democrat,Medical Electronics,Thomas R. Carper
Spouse,BHP,Stock,Purchase,"$15,000 ",DE,Democrat,Precious Metals,Thomas R. Carper
Spouse,RMD,Stock,Sale (Full),"$15,000 ",DE,Democrat,Medical/Dental Instruments,Thomas R. Carper
Spouse,CVS,Stock,Sale (Partial),"$15,000 ",DE,Democrat,Medical/Nursing Services,Thomas R. Carper
Spouse,TU,Stock,Sale (Full),"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,DLR,Stock,Purchase,"$15,000 ",DE,Democrat,Real Estate Investment Trusts,Thomas R. Carper
Spouse,AXS,Stock,Sale (Full),"$15,000 ",DE,Democrat,Property-Casualty Insurers,Thomas R. Carper
Spouse,CME,Stock,Purchase,"$15,000 ",DE,Democrat,Investment Bankers/Brokers/Service,Thomas R. Carper
Spouse,SAND,Stock,Purchase,"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,BSM,Stock,Purchase,"$15,000 ",DE,Democrat,Oil & Gas Production,Thomas R. Carper
Spouse,URA,Other Securities,Purchase,"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,FLNG,Stock,Purchase,"$15,000 ",DE,Democrat,,Thomas R. Carper
Spouse,EQNR,Stock,Purchase,"$15,000 ",DE,Democrat,Integrated oil Companies,Thomas R. Carper
Spouse,MCD,Stock,Sale (Full),"$15,000 ",DE,Democrat,Restaurants,Thomas R. Carper
N/A,N/A,PDF Disclosed Filing,N/A,,,,,Rick Scott
Self,RNWK,Stock,Sale (Full),"$50,000 ",WA,Democrat,Computer Software: Prepackaged Software,Maria Cantwell
Joint,GOLD,Stock,Purchase,"$50,000 ",AL,Republican,Precious Metals,Tommy Tuberville
Joint,NU,Stock,Purchase,"$15,000 ",AL,Republican,Finance: Consumer Services,Tommy Tuberville
Joint,DIS,Stock,Sale (Partial),"$50,000 ",AL,Republican,Services-Misc. Amusement & Recreation,Tommy Tuberville
Joint,PG,Stock Option,Sale (Full),"$15,000 ",AL,Republican,Package Goods/Cosmetics,Tommy Tuberville
Joint,KMB,Stock Option,Sale (Full),"$15,000 ",AL,Republican,Containers/Packaging,Tommy Tuberville
Joint,PYPL,Stock Option,Sale (Full),"$250,000 ",AL,Republican,Business Services,Tommy Tuberville
Joint,PG,Stock Option,Sale (Full),"$15,000 ",AL,Republican,Package Goods/Cosmetics,Tommy Tuberville
Joint,CLX,Stock Option,Sale (Full),"$15,000 ",AL,Republican,Specialty Chemicals,Tommy Tuberville
Joint,PYPL,Stock,Sale (Partial),"$15,000 ",AL,Republican,Business Services,Tommy Tuberville
Joint,PYPL,Stock,Sale (Partial),"$15,000 ",AL,Republican,Business Services,Tommy Tuberville
Joint,PYPL,Stock,Sale (Partial),"$15,000 ",AL,Republican,Business Services,Tommy Tuberville
Joint,PYPL,Stock,Sale (Partial),"$50,000 ",AL,Republican,Business Services,Tommy Tuberville
Joint,PYPL,Stock,Sale (Partial),"$100,000 ",AL,Republican,Business Services,Tommy Tuberville
Joint,PYPL,Stock,Sale (Partial),"$250,000 ",AL,Republican,Business Services,Tommy Tuberville
Joint,PYPL,Stock,Purchase,"$50,000 ",AL,Republican,Business Services,Tommy Tuberville
Joint,GOLD,Stock,Purchase,"$100,000 ",AL,Republican,Precious Metals,Tommy Tuberville
Joint,PYPL,Stock,Purchase,"$500,000 ",AL,Republican,Business Services,Tommy Tuberville
Joint,QCOM,Stock Option,Sale (Full),"$50,000 ",AL,Republican,Radio And Television Broadcasting And Communications Equipment,Tommy Tuberville
Joint,QCOM,Stock,Sale (Partial),"$100,000 ",AL,Republican,Radio And Television Broadcasting And Communications Equipment,Tommy Tuberville
Joint,QCOM,Stock,Purchase,"$250,000 ",AL,Republican,Radio And Television Broadcasting And Communications Equipment,Tommy Tuberville
